x_um,z_um,value,intensity
-5,0,0.905538513814,0.82
-4.375,0,0.928540521464,0.8621875
-3.75,0,0.948024261293,0.89875
-3.125,0,0.964203038784,0.9296875
-2.5,0,0.977241014285,0.955
-1.875,0,0.987262629699,0.9746875
-1.25,0,0.994359090068,0.98875
-0.625,0,0.998592759838,0.9971875
0,0,1,1
0.625,0,0.998592759838,0.9971875
1.25,0,0.994359090068,0.98875
1.875,0,0.987262629699,0.9746875
2.5,0,0.977241014285,0.955
3.125,0,0.964203038784,0.9296875
3.75,0,0.948024261293,0.89875
4.375,0,0.928540521464,0.8621875
5,0,0.905538513814,0.82
-5,1250,0.905538513814,0.82
-4.375,1250,0.928540521464,0.8621875
-3.75,1250,0.948024261293,0.89875
-3.125,1250,0.964203038784,0.9296875
-2.5,1250,0.977241014285,0.955
-1.875,1250,0.987262629699,0.9746875
-1.25,1250,0.994359090068,0.98875
-0.625,1250,0.998592759838,0.9971875
0,1250,1,1
0.625,1250,0.998592759838,0.9971875
1.25,1250,0.994359090068,0.98875
1.875,1250,0.987262629699,0.9746875
2.5,1250,0.977241014285,0.955
3.125,1250,0.964203038784,0.9296875
3.75,1250,0.948024261293,0.89875
4.375,1250,0.928540521464,0.8621875
5,1250,0.905538513814,0.82
-5,2500,0.905538513814,0.82
-4.375,2500,0.928540521464,0.8621875
-3.75,2500,0.948024261293,0.89875
-3.125,2500,0.964203038784,0.9296875
-2.5,2500,0.977241014285,0.955
-1.875,2500,0.987262629699,0.9746875
-1.25,2500,0.994359090068,0.98875
-0.625,2500,0.998592759838,0.9971875
0,2500,1,1
0.625,2500,0.998592759838,0.9971875
1.25,2500,0.994359090068,0.98875
1.875,2500,0.987262629699,0.9746875
2.5,2500,0.977241014285,0.955
3.125,2500,0.964203038784,0.9296875
3.75,2500,0.948024261293,0.89875
4.375,2500,0.928540521464,0.8621875
5,2500,0.905538513814,0.82
-5,3750,0.905538513814,0.82
-4.375,3750,0.928540521464,0.8621875
-3.75,3750,0.948024261293,0.89875
-3.125,3750,0.964203038784,0.9296875
-2.5,3750,0.977241014285,0.955
-1.875,3750,0.987262629699,0.9746875
-1.25,3750,0.994359090068,0.98875
-0.625,3750,0.998592759838,0.9971875
0,3750,1,1
0.625,3750,0.998592759838,0.9971875
1.25,3750,0.994359090068,0.98875
1.875,3750,0.987262629699,0.9746875
2.5,3750,0.977241014285,0.955
3.125,3750,0.964203038784,0.9296875
3.75,3750,0.948024261293,0.89875
4.375,3750,0.928540521464,0.8621875
5,3750,0.905538513814,0.82
-5,5000,0.905538513814,0.82
-4.375,5000,0.928540521464,0.8621875
-3.75,5000,0.948024261293,0.89875
-3.125,5000,0.964203038784,0.9296875
-2.5,5000,0.977241014285,0.955
-1.875,5000,0.987262629699,0.9746875
-1.25,5000,0.994359090068,0.98875
-0.625,5000,0.998592759838,0.9971875
0,5000,1,1
0.625,5000,0.998592759838,0.9971875
1.25,5000,0.994359090068,0.98875
1.875,5000,0.987262629699,0.9746875
2.5,5000,0.977241014285,0.955
3.125,5000,0.964203038784,0.9296875
3.75,5000,0.948024261293,0.89875
4.375,5000,0.928540521464,0.8621875
5,5000,0.905538513814,0.82
-5,6250,0.905538513814,0.82
-4.375,6250,0.928540521464,0.8621875
-3.75,6250,0.948024261293,0.89875
-3.125,6250,0.964203038784,0.9296875
-2.5,6250,0.977241014285,0.955
-1.875,6250,0.987262629699,0.9746875
-1.25,6250,0.994359090068,0.98875
-0.625,6250,0.998592759838,0.9971875
0,6250,1,1
0.625,6250,0.998592759838,0.9971875
1.25,6250,0.994359090068,0.98875
1.875,6250,0.987262629699,0.9746875
2.5,6250,0.977241014285,0.955
3.125,6250,0.964203038784,0.9296875
3.75,6250,0.948024261293,0.89875
4.375,6250,0.928540521464,0.8621875
5,6250,0.905538513814,0.82
-5,7500,0.905538513814,0.82
-4.375,7500,0.928540521464,0.8621875
-3.75,7500,0.948024261293,0.89875
-3.125,7500,0.964203038784,0.9296875
-2.5,7500,0.977241014285,0.955
-1.875,7500,0.987262629699,0.9746875
-1.25,7500,0.994359090068,0.98875
-0.625,7500,0.998592759838,0.9971875
0,7500,1,1
0.625,7500,0.998592759838,0.9971875
1.25,7500,0.994359090068,0.98875
1.875,7500,0.987262629699,0.9746875
2.5,7500,0.977241014285,0.955
3.125,7500,0.964203038784,0.9296875
3.75,7500,0.948024261293,0.89875
4.375,7500,0.928540521464,0.8621875
5,7500,0.905538513814,0.82
-5,8750,0.905538513814,0.82
-4.375,8750,0.928540521464,0.8621875
-3.75,8750,0.948024261293,0.89875
-3.125,8750,0.964203038784,0.9296875
-2.5,8750,0.977241014285,0.955
-1.875,8750,0.987262629699,0.9746875
-1.25,8750,0.994359090068,0.98875
-0.625,8750,0.998592759838,0.9971875
0,8750,1,1
0.625,8750,0.998592759838,0.9971875
1.25,8750,0.994359090068,0.98875
1.875,8750,0.987262629699,0.9746875
2.5,8750,0.977241014285,0.955
3.125,8750,0.964203038784,0.9296875
3.75,8750,0.948024261293,0.89875
4.375,8750,0.928540521464,0.8621875
5,8750,0.905538513814,0.82
-5,10000,0.905538513814,0.82
-4.375,10000,0.928540521464,0.8621875
-3.75,10000,0.948024261293,0.89875
-3.125,10000,0.964203038784,0.9296875
-2.5,10000,0.977241014285,0.955
-1.875,10000,0.987262629699,0.9746875
-1.25,10000,0.994359090068,0.98875
-0.625,10000,0.998592759838,0.9971875
0,10000,1,1
0.625,10000,0.998592759838,0.9971875
1.25,10000,0.994359090068,0.98875
1.875,10000,0.987262629699,0.9746875
2.5,10000,0.977241014285,0.955
3.125,10000,0.964203038784,0.9296875
3.75,10000,0.948024261293,0.89875
4.375,10000,0.928540521464,0.8621875
5,10000,0.905538513814,0.82
-5,11250,0.905538513814,0.82
-4.375,11250,0.928540521464,0.8621875
-3.75,11250,0.948024261293,0.89875
-3.125,11250,0.964203038784,0.9296875
-2.5,11250,0.977241014285,0.955
-1.875,11250,0.987262629699,0.9746875
-1.25,11250,0.994359090068,0.98875
-0.625,11250,0.998592759838,0.9971875
0,11250,1,1
0.625,11250,0.998592759838,0.9971875
1.25,11250,0.994359090068,0.98875
1.875,11250,0.987262629699,0.9746875
2.5,11250,0.977241014285,0.955
3.125,11250,0.964203038784,0.9296875
3.75,11250,0.948024261293,0.89875
4.375,11250,0.928540521464,0.8621875
5,11250,0.905538513814,0.82
-5,12500,0.905538513814,0.82
-4.375,12500,0.928540521464,0.8621875
-3.75,12500,0.948024261293,0.89875
-3.125,12500,0.964203038784,0.9296875
-2.5,12500,0.977241014285,0.955
-1.875,12500,0.987262629699,0.9746875
-1.25,12500,0.994359090068,0.98875
-0.625,12500,0.998592759838,0.9971875
0,12500,1,1
0.625,12500,0.998592759838,0.9971875
1.25,12500,0.994359090068,0.98875
1.875,12500,0.987262629699,0.9746875
2.5,12500,0.977241014285,0.955
3.125,12500,0.964203038784,0.9296875
3.75,12500,0.948024261293,0.89875
4.375,12500,0.928540521464,0.8621875
5,12500,0.905538513814,0.82
-5,13750,0.905538513814,0.82
-4.375,13750,0.928540521464,0.8621875
-3.75,13750,0.948024261293,0.89875
-3.125,13750,0.964203038784,0.9296875
-2.5,13750,0.977241014285,0.955
-1.875,13750,0.987262629699,0.9746875
-1.25,13750,0.994359090068,0.98875
-0.625,13750,0.998592759838,0.9971875
0,13750,1,1
0.625,13750,0.998592759838,0.9971875
1.25,13750,0.994359090068,0.98875
1.875,13750,0.987262629699,0.9746875
2.5,13750,0.977241014285,0.955
3.125,13750,0.964203038784,0.9296875
3.75,13750,0.948024261293,0.89875
4.375,13750,0.928540521464,0.8621875
5,13750,0.905538513814,0.82
-5,15000,0.905538513814,0.82
-4.375,15000,0.928540521464,0.8621875
-3.75,15000,0.948024261293,0.89875
-3.125,15000,0.964203038784,0.9296875
-2.5,15000,0.977241014285,0.955
-1.875,15000,0.987262629699,0.9746875
-1.25,15000,0.994359090068,0.98875
-0.625,15000,0.998592759838,0.9971875
0,15000,1,1
0.625,15000,0.998592759838,0.9971875
1.25,15000,0.994359090068,0.98875
1.875,15000,0.987262629699,0.9746875
2.5,15000,0.977241014285,0.955
3.125,15000,0.964203038784,0.9296875
3.75,15000,0.948024261293,0.89875
4.375,15000,0.928540521464,0.8621875
5,15000,0.905538513814,0.82
-5,16250,0.905538513814,0.82
-4.375,16250,0.928540521464,0.8621875
-3.75,16250,0.948024261293,0.89875
-3.125,16250,0.964203038784,0.9296875
-2.5,16250,0.977241014285,0.955
-1.875,16250,0.987262629699,0.9746875
-1.25,16250,0.994359090068,0.98875
-0.625,16250,0.998592759838,0.9971875
0,16250,1,1
0.625,16250,0.998592759838,0.9971875
1.25,16250,0.994359090068,0.98875
1.875,16250,0.987262629699,0.9746875
2.5,16250,0.977241014285,0.955
3.125,16250,0.964203038784,0.9296875
3.75,16250,0.948024261293,0.89875
4.375,16250,0.928540521464,0.8621875
5,16250,0.905538513814,0.82
-5,17500,0.905538513814,0.82
-4.375,17500,0.928540521464,0.8621875
-3.75,17500,0.948024261293,0.89875
-3.125,17500,0.964203038784,0.9296875
-2.5,17500,0.977241014285,0.955
-1.875,17500,0.987262629699,0.9746875
-1.25,17500,0.994359090068,0.98875
-0.625,17500,0.998592759838,0.9971875
0,17500,1,1
0.625,17500,0.998592759838,0.9971875
1.25,17500,0.994359090068,0.98875
1.875,17500,0.987262629699,0.9746875
2.5,17500,0.977241014285,0.955
3.125,17500,0.964203038784,0.9296875
3.75,17500,0.948024261293,0.89875
4.375,17500,0.928540521464,0.8621875
5,17500,0.905538513814,0.82
-5,18750,0.905538513814,0.82
-4.375,18750,0.928540521464,0.8621875
-3.75,18750,0.948024261293,0.89875
-3.125,18750,0.964203038784,0.9296875
-2.5,18750,0.977241014285,0.955
-1.875,18750,0.987262629699,0.9746875
-1.25,18750,0.994359090068,0.98875
-0.625,18750,0.998592759838,0.9971875
0,18750,1,1
0.625,18750,0.998592759838,0.9971875
1.25,18750,0.994359090068,0.98875
1.875,18750,0.987262629699,0.9746875
2.5,18750,0.977241014285,0.955
3.125,18750,0.964203038784,0.9296875
3.75,18750,0.948024261293,0.89875
4.375,18750,0.928540521464,0.8621875
5,18750,0.905538513814,0.82
-5,20000,0.905538513814,0.82
-4.375,20000,0.928540521464,0.8621875
-3.75,20000,0.948024261293,0.89875
-3.125,20000,0.964203038784,0.9296875
-2.5,20000,0.977241014285,0.955
-1.875,20000,0.987262629699,0.9746875
-1.25,20000,0.994359090068,0.98875
-0.625,20000,0.998592759838,0.9971875
0,20000,1,1
0.625,20000,0.998592759838,0.9971875
1.25,20000,0.994359090068,0.98875
1.875,20000,0.987262629699,0.9746875
2.5,20000,0.977241014285,0.955
3.125,20000,0.964203038784,0.9296875
3.75,20000,0.948024261293,0.89875
4.375,20000,0.928540521464,0.8621875
5,20000,0.905538513814,0.82
-5,21250,0.905538513814,0.82
-4.375,21250,0.928540521464,0.8621875
-3.75,21250,0.948024261293,0.89875
-3.125,21250,0.964203038784,0.9296875
-2.5,21250,0.977241014285,0.955
-1.875,21250,0.987262629699,0.9746875
-1.25,21250,0.994359090068,0.98875
-0.625,21250,0.998592759838,0.9971875
0,21250,1,1
0.625,21250,0.998592759838,0.9971875
1.25,21250,0.994359090068,0.98875
1.875,21250,0.987262629699,0.9746875
2.5,21250,0.977241014285,0.955
3.125,21250,0.964203038784,0.9296875
3.75,21250,0.948024261293,0.89875
4.375,21250,0.928540521464,0.8621875
5,21250,0.905538513814,0.82
-5,22500,0.705234103659,0.497355140964
-4.375,22500,0.723148085229,0.522943153171
-3.75,22500,0.738322037066,0.545119430417
-3.125,22500,0.750922081645,0.563883972702
-2.5,22500,0.761076067174,0.579236780026
-1.875,22500,0.768880909107,0.591177852389
-1.25,22500,0.774407637999,0.599707189791
-0.625,22500,0.777704823331,0.604824792232
0,22500,0.778800783071,0.606530659713
0.625,22500,0.777704823331,0.604824792232
1.25,22500,0.774407637999,0.599707189791
1.875,22500,0.768880909107,0.591177852389
2.5,22500,0.761076067174,0.579236780026
3.125,22500,0.750922081645,0.563883972702
3.75,22500,0.738322037066,0.545119430417
4.375,22500,0.723148085229,0.522943153171
5,22500,0.705234103659,0.497355140964
-5,23750,0.705234103659,0.497355140964
-4.375,23750,0.723148085229,0.522943153171
-3.75,23750,0.738322037066,0.545119430417
-3.125,23750,0.750922081645,0.563883972702
-2.5,23750,0.761076067174,0.579236780026
-1.875,23750,0.768880909107,0.591177852389
-1.25,23750,0.774407637999,0.599707189791
-0.625,23750,0.777704823331,0.604824792232
0,23750,0.778800783071,0.606530659713
0.625,23750,0.777704823331,0.604824792232
