run_id,resolution_points_per_wavelength,pml_thickness_um,padding_wavelengths,monitor_offset_wavelengths,reflectance,transmittance,absorbance,reference_residual,energy_balance_error,field_slice_delta,status
l82-absorbing-slab-r10-pml0p5-pad1-m1p5,10,0.5,1,1.5,0.030240000000000003,0.6425306597126335,0.38350934028736655,0.03600000000000003,0.05628000000000011,0.0504,fail
l82-absorbing-slab-r10-pml0p5-pad2-m1p5,10,0.5,2,1.5,0.028980000000000002,0.6410306597126334,0.3840493402873666,0.034499999999999975,0.05406,0.0483,fail
l82-absorbing-slab-r10-pml0p5-pad3-m1p5,10,0.5,3,1.5,0.02877,0.6407806597126334,0.38413934028736657,0.03425,0.053690000000000015,0.04795,fail
l82-absorbing-slab-r10-pml1-pad1-m1p5,10,1,1,1.5,0.01155,0.6202806597126335,0.3889193402873666,0.01375000000000004,0.020750000000000046,0.01925,warning
l82-absorbing-slab-r10-pml1-pad2-m1p5,10,1,2,1.5,0.01029,0.6187806597126334,0.38945934028736656,0.012249999999999983,0.018529999999999935,0.01715,warning
l82-absorbing-slab-r10-pml1-pad3-m1p5,10,1,3,1.5,0.01008,0.6185306597126334,0.3895493402873666,0.01200000000000001,0.018159999999999954,0.0168,warning
l82-absorbing-slab-r10-pml1p5-pad1-m1p5,10,1.5,1,1.5,0.01155,0.6202806597126335,0.3889193402873666,0.01375000000000004,0.020750000000000046,0.01925,warning
l82-absorbing-slab-r10-pml1p5-pad2-m1p5,10,1.5,2,1.5,0.01029,0.6187806597126334,0.38945934028736656,0.012249999999999983,0.018529999999999935,0.01715,warning
l82-absorbing-slab-r10-pml1p5-pad3-m1p5,10,1.5,3,1.5,0.01008,0.6185306597126334,0.3895493402873666,0.01200000000000001,0.018159999999999954,0.0168,warning
l82-absorbing-slab-r15-pml0p5-pad1-m1p5,15,0.5,1,1.5,0.02464,0.6358639930459667,0.38590934028736656,0.029333333333333322,0.046413333333333195,0.04106666666666666,fail
l82-absorbing-slab-r15-pml0p5-pad2-m1p5,15,0.5,2,1.5,0.023379999999999998,0.6343639930459668,0.3864493402873666,0.027833333333333377,0.04419333333333331,0.03896666666666666,fail
l82-absorbing-slab-r15-pml0p5-pad3-m1p5,15,0.5,3,1.5,0.023169999999999996,0.6341139930459667,0.3865393402873666,0.027583333333333293,0.043823333333333325,0.03861666666666666,fail
l82-absorbing-slab-r15-pml1-pad1-m1p5,15,1,1,1.5,0.00595,0.6136139930459668,0.3913193402873666,0.00708333333333333,0.010883333333333356,0.009916666666666667,warning
l82-absorbing-slab-r15-pml1-pad2-m1p5,15,1,2,1.5,0.00469,0.6121139930459668,0.3918593402873666,0.0055833333333333846,0.008663333333333245,0.007816666666666666,pass
l82-absorbing-slab-r15-pml1-pad3-m1p5,15,1,3,1.5,0.00448,0.6118639930459667,0.3919493402873666,0.005333333333333301,0.008293333333333486,0.007466666666666666,pass
l82-absorbing-slab-r15-pml1p5-pad1-m1p5,15,1.5,1,1.5,0.00595,0.6136139930459668,0.3913193402873666,0.00708333333333333,0.010883333333333356,0.009916666666666667,warning
l82-absorbing-slab-r15-pml1p5-pad2-m1p5,15,1.5,2,1.5,0.00469,0.6121139930459668,0.3918593402873666,0.0055833333333333846,0.008663333333333245,0.007816666666666666,pass
l82-absorbing-slab-r15-pml1p5-pad3-m1p5,15,1.5,3,1.5,0.00448,0.6118639930459667,0.3919493402873666,0.005333333333333301,0.008293333333333486,0.007466666666666666,pass
l82-absorbing-slab-r20-pml0p5-pad1-m1p5,20,0.5,1,1.5,0.02268,0.6335306597126334,0.38674934028736657,0.027000000000000024,0.04296000000000011,0.0378,fail
l82-absorbing-slab-r20-pml0p5-pad2-m1p5,20,0.5,2,1.5,0.021419999999999998,0.6320306597126334,0.38728934028736656,0.025499999999999967,0.04074,0.035699999999999996,fail
l82-absorbing-slab-r20-pml0p5-pad3-m1p5,20,0.5,3,1.5,0.021209999999999996,0.6317806597126334,0.3873793402873666,0.025249999999999995,0.04037000000000002,0.03534999999999999,fail
l82-absorbing-slab-r20-pml1-pad1-m1p5,20,1,1,1.5,0.0039900000000000005,0.6112806597126335,0.3921593402873666,0.004750000000000032,0.007430000000000048,0.0066500000000000005,pass
l82-absorbing-slab-r20-pml1-pad2-m1p5,20,1,2,1.5,0.0027300000000000002,0.6097806597126334,0.3926993402873666,0.003249999999999975,0.005209999999999937,0.00455,pass
l82-absorbing-slab-r20-pml1-pad3-m1p5,20,1,3,1.5,0.00252,0.6095306597126334,0.39278934028736656,0.0030000000000000027,0.0048399999999999554,0.0042,pass
l82-absorbing-slab-r20-pml1p5-pad1-m1p5,20,1.5,1,1.5,0.0039900000000000005,0.6112806597126335,0.3921593402873666,0.004750000000000032,0.007430000000000048,0.0066500000000000005,pass
l82-absorbing-slab-r20-pml1p5-pad2-m1p5,20,1.5,2,1.5,0.0027300000000000002,0.6097806597126334,0.3926993402873666,0.003249999999999975,0.005209999999999937,0.00455,pass
l82-absorbing-slab-r20-pml1p5-pad3-m1p5,20,1.5,3,1.5,0.00252,0.6095306597126334,0.39278934028736656,0.0030000000000000027,0.0048399999999999554,0.0042,pass
l82-absorbing-slab-r30-pml0p5-pad1-m1p5,30,0.5,1,1.5,0.02128,0.6318639930459667,0.38734934028736656,0.02533333333333332,0.04049333333333327,0.03546666666666666,fail
l82-absorbing-slab-r30-pml0p5-pad2-m1p5,30,0.5,2,1.5,0.020019999999999996,0.6303639930459668,0.3878893402873666,0.023833333333333373,0.03827333333333338,0.03336666666666666,fail
l82-absorbing-slab-r30-pml0p5-pad3-m1p5,30,0.5,3,1.5,0.019809999999999998,0.6301139930459667,0.3879793402873666,0.02358333333333329,0.0379033333333334,0.03301666666666666,fail
l82-absorbing-slab-r30-pml1-pad1-m1p5,30,1,1,1.5,0.00259,0.6096139930459668,0.3927593402873666,0.003083333333333327,0.004963333333333431,0.004316666666666667,pass
l82-absorbing-slab-r30-pml1-pad2-m1p5,30,1,2,1.5,0.00133,0.6081139930459668,0.3932993402873666,0.001583333333333381,0.002743333333333542,0.0022166666666666663,pass
l82-absorbing-slab-r30-pml1-pad3-m1p5,30,1,3,1.5,0.00112,0.6078639930459667,0.3933893402873666,0.0013333333333332975,0.0023733333333333384,0.0018666666666666664,pass
l82-absorbing-slab-r30-pml1p5-pad1-m1p5,30,1.5,1,1.5,0.00259,0.6096139930459668,0.3927593402873666,0.003083333333333327,0.004963333333333431,0.004316666666666667,pass
l82-absorbing-slab-r30-pml1p5-pad2-m1p5,30,1.5,2,1.5,0.00133,0.6081139930459668,0.3932993402873666,0.001583333333333381,0.002743333333333542,0.0022166666666666663,pass
l82-absorbing-slab-r30-pml1p5-pad3-m1p5,30,1.5,3,1.5,0.00112,0.6078639930459667,0.3933893402873666,0.0013333333333332975,0.0023733333333333384,0.0018666666666666664,pass
