run_id,resolution_points_per_wavelength,pml_thickness_um,padding_wavelengths,monitor_offset_wavelengths,reflectance,transmittance,absorbance,reference_residual,energy_balance_error,field_slice_delta,status
l82-empty-space-r10-pml0p5-pad1-m1p5,10,0.5,1,1.5,0.01134,0.9865,0.007859999999999999,0.013499999999999956,0.005700000000000038,0.0189,pass
l82-empty-space-r10-pml0p5-pad2-m1p5,10,0.5,2,1.5,0.01008,0.988,0.00732,0.01200000000000001,0.005400000000000071,0.0168,pass
l82-empty-space-r10-pml0p5-pad3-m1p5,10,0.5,3,1.5,0.00987,0.98825,0.00723,0.011750000000000038,0.005349999999999966,0.01645,pass
l82-empty-space-r10-pml1-pad1-m1p5,10,1,1,1.5,0.009029999999999998,0.98925,0.0042699999999999995,0.010750000000000037,0.0025500000000000522,0.015049999999999997,pass
l82-empty-space-r10-pml1-pad2-m1p5,10,1,2,1.5,0.007769999999999999,0.99075,0.00373,0.00924999999999998,0.0022500000000000853,0.012949999999999998,pass
l82-empty-space-r10-pml1-pad3-m1p5,10,1,3,1.5,0.007559999999999999,0.991,0.00364,0.009000000000000008,0.0021999999999999797,0.012599999999999998,pass
l82-empty-space-r10-pml1p5-pad1-m1p5,10,1.5,1,1.5,0.009029999999999998,0.98925,0.0042699999999999995,0.010750000000000037,0.0025500000000000522,0.015049999999999997,pass
l82-empty-space-r10-pml1p5-pad2-m1p5,10,1.5,2,1.5,0.007769999999999999,0.99075,0.00373,0.00924999999999998,0.0022500000000000853,0.012949999999999998,pass
l82-empty-space-r10-pml1p5-pad3-m1p5,10,1.5,3,1.5,0.007559999999999999,0.991,0.00364,0.009000000000000008,0.0021999999999999797,0.012599999999999998,pass
l82-empty-space-r15-pml0p5-pad1-m1p5,15,0.5,1,1.5,0.0071400000000000005,0.9915,0.00606,0.008499999999999952,0.0047000000000001485,0.0119,pass
l82-empty-space-r15-pml0p5-pad2-m1p5,15,0.5,2,1.5,0.00588,0.993,0.005520000000000001,0.007000000000000006,0.0043999999999999595,0.0098,pass
l82-empty-space-r15-pml0p5-pad3-m1p5,15,0.5,3,1.5,0.00567,0.99325,0.00543,0.006750000000000034,0.004349999999999854,0.00945,pass
l82-empty-space-r15-pml1-pad1-m1p5,15,1,1,1.5,0.00483,0.99425,0.00247,0.005750000000000033,0.0015499999999999403,0.00805,pass
l82-empty-space-r15-pml1-pad2-m1p5,15,1,2,1.5,0.0035700000000000003,0.99575,0.00193,0.004249999999999976,0.0012499999999999734,0.00595,pass
l82-empty-space-r15-pml1-pad3-m1p5,15,1,3,1.5,0.00336,0.996,0.0018399999999999998,0.0040000000000000036,0.0012000000000000899,0.0056,pass
l82-empty-space-r15-pml1p5-pad1-m1p5,15,1.5,1,1.5,0.00483,0.99425,0.00247,0.005750000000000033,0.0015499999999999403,0.00805,pass
l82-empty-space-r15-pml1p5-pad2-m1p5,15,1.5,2,1.5,0.0035700000000000003,0.99575,0.00193,0.004249999999999976,0.0012499999999999734,0.00595,pass
l82-empty-space-r15-pml1p5-pad3-m1p5,15,1.5,3,1.5,0.00336,0.996,0.0018399999999999998,0.0040000000000000036,0.0012000000000000899,0.0056,pass
l82-empty-space-r20-pml0p5-pad1-m1p5,20,0.5,1,1.5,0.005669999999999999,0.99325,0.005429999999999999,0.006750000000000034,0.004349999999999854,0.009449999999999998,pass
