run_id,resolution_points_per_wavelength,pml_thickness_um,padding_wavelengths,monitor_offset_wavelengths,reflectance,transmittance,absorbance,reference_residual,energy_balance_error,field_slice_delta,status
l82-transparent-interface-r10-pml0p5-pad1-m1p5,10,0.5,1,1.5,0.0505,0.9475,0.0075,0.012499999999999956,0.00550000000000006,0.017499999999999998,pass
l82-transparent-interface-r10-pml0p5-pad2-m1p5,10,0.5,2,1.5,0.049240000000000006,0.949,0.00696,0.01100000000000001,0.0052000000000000934,0.015399999999999999,pass
l82-transparent-interface-r10-pml0p5-pad3-m1p5,10,0.5,3,1.5,0.049030000000000004,0.9492499999999999,0.006869999999999999,0.010750000000000037,0.005149999999999988,0.015049999999999997,pass
l82-transparent-interface-r10-pml1-pad1-m1p5,10,1,1,1.5,0.04819000000000001,0.9502499999999999,0.003909999999999999,0.009750000000000036,0.0023500000000000743,0.013649999999999999,pass
l82-transparent-interface-r10-pml1-pad2-m1p5,10,1,2,1.5,0.046930000000000006,0.95175,0.00337,0.00824999999999998,0.0020500000000001073,0.01155,pass
l82-transparent-interface-r10-pml1-pad3-m1p5,10,1,3,1.5,0.04672000000000001,0.952,0.00328,0.008000000000000007,0.0020000000000000018,0.0112,pass
l82-transparent-interface-r10-pml1p5-pad1-m1p5,10,1.5,1,1.5,0.04819000000000001,0.9502499999999999,0.003909999999999999,0.009750000000000036,0.0023500000000000743,0.013649999999999999,pass
l82-transparent-interface-r10-pml1p5-pad2-m1p5,10,1.5,2,1.5,0.046930000000000006,0.95175,0.00337,0.00824999999999998,0.0020500000000001073,0.01155,pass
l82-transparent-interface-r10-pml1p5-pad3-m1p5,10,1.5,3,1.5,0.04672000000000001,0.952,0.00328,0.008000000000000007,0.0020000000000000018,0.0112,pass
l82-transparent-interface-r15-pml0p5-pad1-m1p5,15,0.5,1,1.5,0.04676666666666667,0.9519444444444444,0.0059,0.008055555555555594,0.004611111111110899,0.011277777777777777,pass
l82-transparent-interface-r15-pml0p5-pad2-m1p5,15,0.5,2,1.5,0.045506666666666674,0.9534444444444444,0.00536,0.006555555555555537,0.004311111111111154,0.009177777777777778,pass
l82-transparent-interface-r15-pml0p5-pad3-m1p5,15,0.5,3,1.5,0.04529666666666667,0.9536944444444444,0.00527,0.006305555555555564,0.004261111111111049,0.008827777777777776,pass
l82-transparent-interface-r15-pml1-pad1-m1p5,15,1,1,1.5,0.04445666666666667,0.9546944444444444,0.0023100000000000004,0.005305555555555563,0.0014611111111111352,0.007427777777777779,pass
l82-transparent-interface-r15-pml1-pad2-m1p5,15,1,2,1.5,0.043196666666666675,0.9561944444444445,0.00177,0.0038055555555555065,0.0011611111111111683,0.005327777777777778,pass
l82-transparent-interface-r15-pml1-pad3-m1p5,15,1,3,1.5,0.04298666666666667,0.9564444444444444,0.00168,0.003555555555555534,0.0011111111111110628,0.004977777777777778,pass
l82-transparent-interface-r15-pml1p5-pad1-m1p5,15,1.5,1,1.5,0.04445666666666667,0.9546944444444444,0.0023100000000000004,0.005305555555555563,0.0014611111111111352,0.007427777777777779,pass
l82-transparent-interface-r15-pml1p5-pad2-m1p5,15,1.5,2,1.5,0.043196666666666675,0.9561944444444445,0.00177,0.0038055555555555065,0.0011611111111111683,0.005327777777777778,pass
l82-transparent-interface-r15-pml1p5-pad3-m1p5,15,1.5,3,1.5,0.04298666666666667,0.9564444444444444,0.00168,0.003555555555555534,0.0011111111111110628,0.004977777777777778,pass
l82-transparent-interface-r20-pml0p5-pad1-m1p5,20,0.5,1,1.5,0.04546000000000001,0.9535,0.00534,0.00649999999999995,0.0042999999999999705,0.0091,pass
l82-transparent-interface-r20-pml0p5-pad2-m1p5,20,0.5,2,1.5,0.04420000000000001,0.955,0.0048000000000000004,0.0050000000000000044,0.0040000000000000036,0.006999999999999999,pass
