x_um,z_um,value,intensity
-6,0,0.546991773247,0.2992
-5.5,0,0.550090901579,0.3026
-5,0,0.553172667438,0.306
-4.5,0,0.556237359407,0.3094
-4,0,0.559285258164,0.3128
-3.5,0,0.56231663678,0.3162
-3,0,0.565331761004,0.3196
-2.5,0,0.568330889535,0.323
-2,0,0.887242920513,0.7872
-1.5,0,0.89185200566,0.7954
-1,0,0.896437393241,0.8036
-0.5,0,0.900999445061,0.8118
0,0,0.905538513814,0.82
0.5,0,0.900999445061,0.8118
1,0,0.896437393241,0.8036
1.5,0,0.89185200566,0.7954
2,0,0.887242920513,0.7872
2.5,0,0.568330889535,0.323
3,0,0.565331761004,0.3196
3.5,0,0.56231663678,0.3162
4,0,0.559285258164,0.3128
4.5,0,0.556237359407,0.3094
5,0,0.553172667438,0.306
5.5,0,0.550090901579,0.3026
6,0,0.546991773247,0.2992
-6,833.333333333,-0.273495886624,0.2992
-5.5,833.333333333,-0.27504545079,0.3026
-5,833.333333333,-0.276586333719,0.306
-4.5,833.333333333,-0.278118679704,0.3094
-4,833.333333333,-0.279642629083,0.3128
-3.5,833.333333333,-0.281158318391,0.3162
-3,833.333333333,-0.282665880502,0.3196
-2.5,833.333333333,-0.284165444768,0.323
-2,833.333333333,-0.443621460257,0.7872
-1.5,833.333333333,-0.445926002831,0.7954
-1,833.333333333,-0.448218696621,0.8036
-0.5,833.333333333,-0.450499722531,0.8118
0,833.333333333,-0.452769256907,0.82
0.5,833.333333333,-0.450499722531,0.8118
1,833.333333333,-0.448218696621,0.8036
1.5,833.333333333,-0.445926002831,0.7954
2,833.333333333,-0.443621460257,0.7872
2.5,833.333333333,-0.284165444768,0.323
3,833.333333333,-0.282665880502,0.3196
3.5,833.333333333,-0.281158318391,0.3162
4,833.333333333,-0.279642629083,0.3128
4.5,833.333333333,-0.278118679704,0.3094
5,833.333333333,-0.276586333719,0.306
5.5,833.333333333,-0.27504545079,0.3026
6,833.333333333,-0.273495886624,0.2992
-6,1666.66666667,-0.273495886623,0.2992
-5.5,1666.66666667,-0.275045450789,0.3026
-5,1666.66666667,-0.276586333718,0.306
-4.5,1666.66666667,-0.278118679703,0.3094
-4,1666.66666667,-0.279642629081,0.3128
-3.5,1666.66666667,-0.281158318389,0.3162
-3,1666.66666667,-0.282665880501,0.3196
-2.5,1666.66666667,-0.284165444767,0.323
-2,1666.66666667,-0.443621460255,0.7872
-1.5,1666.66666667,-0.445926002829,0.7954
-1,1666.66666667,-0.448218696619,0.8036
-0.5,1666.66666667,-0.450499722529,0.8118
0,1666.66666667,-0.452769256906,0.82
0.5,1666.66666667,-0.450499722529,0.8118
1,1666.66666667,-0.448218696619,0.8036
1.5,1666.66666667,-0.445926002829,0.7954
2,1666.66666667,-0.443621460255,0.7872
2.5,1666.66666667,-0.284165444767,0.323
3,1666.66666667,-0.282665880501,0.3196
3.5,1666.66666667,-0.281158318389,0.3162
4,1666.66666667,-0.279642629081,0.3128
4.5,1666.66666667,-0.278118679703,0.3094
5,1666.66666667,-0.276586333718,0.306
5.5,1666.66666667,-0.275045450789,0.3026
6,1666.66666667,-0.273495886623,0.2992
-6,2500,0.546991773247,0.2992
-5.5,2500,0.550090901579,0.3026
-5,2500,0.553172667438,0.306
-4.5,2500,0.556237359407,0.3094
-4,2500,0.559285258164,0.3128
-3.5,2500,0.56231663678,0.3162
-3,2500,0.565331761004,0.3196
-2.5,2500,0.568330889535,0.323
-2,2500,0.887242920513,0.7872
-1.5,2500,0.89185200566,0.7954
-1,2500,0.896437393241,0.8036
-0.5,2500,0.900999445061,0.8118
0,2500,0.905538513814,0.82
0.5,2500,0.900999445061,0.8118
1,2500,0.896437393241,0.8036
1.5,2500,0.89185200566,0.7954
2,2500,0.887242920513,0.7872
2.5,2500,0.568330889535,0.323
3,2500,0.565331761004,0.3196
3.5,2500,0.56231663678,0.3162
4,2500,0.559285258164,0.3128
4.5,2500,0.556237359407,0.3094
5,2500,0.553172667438,0.306
5.5,2500,0.550090901579,0.3026
6,2500,0.546991773247,0.2992
-6,3333.33333333,-0.273495886625,0.2992
-5.5,3333.33333333,-0.275045450791,0.3026
-5,3333.33333333,-0.27658633372,0.306
-4.5,3333.33333333,-0.278118679705,0.3094
-4,3333.33333333,-0.279642629084,0.3128
-3.5,3333.33333333,-0.281158318392,0.3162
-3,3333.33333333,-0.282665880504,0.3196
-2.5,3333.33333333,-0.284165444769,0.323
