x_um,z_um,value,intensity
-6,0,1.04460518858,1.0912
-5.5,0,1.05052367893,1.1036
-5,0,1.0564090117,1.116
-4.5,0,1.06226173799,1.1284
-4,0,1.06808239383,1.1408
-3.5,0,1.07387150069,1.1532
-3,0,1.0796295661,1.1656
-2.5,0,1.0853570841,1.178
-2,0,1.09105453576,1.1904
-1.5,0,1.09672238967,1.2028
-1,0,1.10236110236,1.2152
-0.5,0,1.10797111876,1.2276
0,0,1.11355287257,1.24
0.5,0,1.10797111876,1.2276
1,0,1.10236110236,1.2152
1.5,0,1.09672238967,1.2028
2,0,1.09105453576,1.1904
2.5,0,1.0853570841,1.178
3,0,1.0796295661,1.1656
3.5,0,1.07387150069,1.1532
4,0,1.06808239383,1.1408
4.5,0,1.06226173799,1.1284
5,0,1.0564090117,1.116
5.5,0,1.05052367893,1.1036
6,0,1.04460518858,1.0912
-6,833.333333333,-0.506873201681,1.02768177033
-5.5,833.333333333,-0.509745027506,1.03935997226
-5,833.333333333,-0.51260076429,1.0510381742
-4.5,833.333333333,-0.515440679452,1.06271637613
-4,833.333333333,-0.518265033085,1.07439457807
-3.5,833.333333333,-0.521074078229,1.08607278001
-3,833.333333333,-0.523868061143,1.09775098194
-2.5,833.333333333,-0.526647221553,1.10942918388
-2,833.333333333,-0.529411792893,1.12110738581
-1.5,833.333333333,-0.532162002531,1.13278558775
-1,833.333333333,-0.534898071993,1.14446378968
-0.5,833.333333333,-0.537620217166,1.15614199162
0,833.333333333,-0.5403286485,1.16782019355
0.5,833.333333333,-0.537620217166,1.15614199162
1,833.333333333,-0.534898071993,1.14446378968
1.5,833.333333333,-0.532162002531,1.13278558775
2,833.333333333,-0.529411792893,1.12110738581
2.5,833.333333333,-0.526647221553,1.10942918388
3,833.333333333,-0.523868061143,1.09775098194
3.5,833.333333333,-0.521074078229,1.08607278001
4,833.333333333,-0.518265033085,1.07439457807
4.5,833.333333333,-0.515440679452,1.06271637613
5,833.333333333,-0.51260076429,1.0510381742
5.5,833.333333333,-0.509745027506,1.03935997226
6,833.333333333,-0.506873201681,1.02768177033
-6,1666.66666667,-0.467796214714,0.875333194008
-5.5,1666.66666667,-0.470446639407,0.885280162122
-5,1666.66666667,-0.473082215432,0.895227130236
-4.5,1666.66666667,-0.47570318959,0.90517409835
-4,1666.66666667,-0.478309801922,0.915121066463
-3.5,1666.66666667,-0.480902285962,0.925068034577
-3,1666.66666667,-0.483480868982,0.935015002691
-2.5,1666.66666667,-0.486045772227,0.944961970804
-2,1666.66666667,-0.488597211134,0.954908938918
-1.5,1666.66666667,-0.491135395545,0.964855907032
-1,1666.66666667,-0.493660529904,0.974802875146
-0.5,1666.66666667,-0.496172813457,0.984749843259
0,1666.66666667,-0.498672440428,0.994696811373
0.5,1666.66666667,-0.496172813457,0.984749843259
1,1666.66666667,-0.493660529904,0.974802875146
1.5,1666.66666667,-0.491135395545,0.964855907032
2,1666.66666667,-0.488597211134,0.954908938918
2.5,1666.66666667,-0.486045772227,0.944961970804
3,1666.66666667,-0.483480868982,0.935015002691
3.5,1666.66666667,-0.480902285962,0.925068034577
4,1666.66666667,-0.478309801922,0.915121066463
4.5,1666.66666667,-0.47570318959,0.90517409835
5,1666.66666667,-0.473082215432,0.895227130236
5.5,1666.66666667,-0.470446639407,0.885280162122
6,1666.66666667,-0.467796214714,0.875333194008
-6,2500,0.851934090153,0.725791693965
