x_um,z_um,value,intensity
-6,0,0.456614090497,0.20849642764
-5.5,0,0.515165583762,0.265395578693
-5,0,0.575405506625,0.331091497054
-4.5,0,0.636255326314,0.404820840263
-4,0,0.696497688524,0.48510903012
-3.5,0,0.754812921585,0.569742546592
-3,0,0.809824515872,0.655815746507
-2.5,0,0.860151581942,0.739860743918
-2,0,0.904465608748,0.818058037408
-1.5,0,0.941548325745,0.886513249713
-1,0,0.970347180327,0.941573650369
-0.5,0,0.990024916561,0.980149335412
0,0,1,1
0.5,0,0.990024916561,0.980149335412
1,0,0.970347180327,0.941573650369
1.5,0,0.941548325745,0.886513249713
2,0,0.904465608748,0.818058037408
2.5,0,0.860151581942,0.739860743918
3,0,0.809824515872,0.655815746507
3.5,0,0.754812921585,0.569742546592
4,0,0.696497688524,0.48510903012
4.5,0,0.636255326314,0.404820840263
5,0,0.575405506625,0.331091497054
5.5,0,0.515165583762,0.265395578693
6,0,0.456614090497,0.20849642764
-6,833.333333333,-0.228307045249,0.20849642764
-5.5,833.333333333,-0.257582791881,0.265395578693
-5,833.333333333,-0.287702753313,0.331091497054
-4.5,833.333333333,-0.318127663157,0.404820840263
-4,833.333333333,-0.348248844263,0.48510903012
-3.5,833.333333333,-0.377406460793,0.569742546592
-3,833.333333333,-0.404912257936,0.655815746507
-2.5,833.333333333,-0.430075790972,0.739860743918
-2,833.333333333,-0.452232804375,0.818058037408
-1.5,833.333333333,-0.470774162873,0.886513249713
-1,833.333333333,-0.485173590164,0.941573650369
-0.5,833.333333333,-0.495012458281,0.980149335412
0,833.333333333,-0.500000000001,1
0.5,833.333333333,-0.495012458281,0.980149335412
1,833.333333333,-0.485173590164,0.941573650369
1.5,833.333333333,-0.470774162873,0.886513249713
2,833.333333333,-0.452232804375,0.818058037408
2.5,833.333333333,-0.430075790972,0.739860743918
3,833.333333333,-0.404912257936,0.655815746507
3.5,833.333333333,-0.377406460793,0.569742546592
4,833.333333333,-0.348248844263,0.48510903012
4.5,833.333333333,-0.318127663157,0.404820840263
5,833.333333333,-0.287702753313,0.331091497054
5.5,833.333333333,-0.257582791881,0.265395578693
6,833.333333333,-0.228307045249,0.20849642764
-6,1666.66666667,-0.228307045248,0.20849642764
-5.5,1666.66666667,-0.25758279188,0.265395578693
-5,1666.66666667,-0.287702753312,0.331091497054
-4.5,1666.66666667,-0.318127663156,0.404820840263
-4,1666.66666667,-0.348248844261,0.48510903012
-3.5,1666.66666667,-0.377406460791,0.569742546592
-3,1666.66666667,-0.404912257935,0.655815746507
-2.5,1666.66666667,-0.43007579097,0.739860743918
-2,1666.66666667,-0.452232804373,0.818058037408
-1.5,1666.66666667,-0.470774162871,0.886513249713
-1,1666.66666667,-0.485173590162,0.941573650369
-0.5,1666.66666667,-0.495012458279,0.980149335412
0,1666.66666667,-0.499999999999,1
0.5,1666.66666667,-0.495012458279,0.980149335412
1,1666.66666667,-0.485173590162,0.941573650369
1.5,1666.66666667,-0.470774162871,0.886513249713
2,1666.66666667,-0.452232804373,0.818058037408
2.5,1666.66666667,-0.43007579097,0.739860743918
3,1666.66666667,-0.404912257935,0.655815746507
3.5,1666.66666667,-0.377406460791,0.569742546592
4,1666.66666667,-0.348248844261,0.48510903012
4.5,1666.66666667,-0.318127663156,0.404820840263
5,1666.66666667,-0.287702753312,0.331091497054
5.5,1666.66666667,-0.25758279188,0.265395578693
6,1666.66666667,-0.228307045248,0.20849642764
-6,2500,0.456614090497,0.20849642764
-5.5,2500,0.515165583762,0.265395578693
-5,2500,0.575405506625,0.331091497054
-4.5,2500,0.636255326314,0.404820840263
-4,2500,0.696497688524,0.48510903012
-3.5,2500,0.754812921585,0.569742546592
-3,2500,0.809824515872,0.655815746507
-2.5,2500,0.860151581942,0.739860743918
-2,2500,0.904465608748,0.818058037408
-1.5,2500,0.941548325745,0.886513249713
-1,2500,0.970347180327,0.941573650369
-0.5,2500,0.990024916561,0.980149335412
0,2500,1,1
0.5,2500,0.990024916561,0.980149335412
1,2500,0.970347180327,0.941573650369
1.5,2500,0.941548325745,0.886513249713
2,2500,0.904465608748,0.818058037408
2.5,2500,0.860151581942,0.739860743918
3,2500,0.809824515872,0.655815746507
3.5,2500,0.754812921585,0.569742546592
4,2500,0.696497688524,0.48510903012
4.5,2500,0.636255326314,0.404820840263
5,2500,0.575405506625,0.331091497054
5.5,2500,0.515165583762,0.265395578693
6,2500,0.456614090497,0.20849642764
-6,3333.33333333,-0.22830704525,0.20849642764
-5.5,3333.33333333,-0.257582791882,0.265395578693
-5,3333.33333333,-0.287702753314,0.331091497054
-4.5,3333.33333333,-0.318127663159,0.404820840263
-4,3333.33333333,-0.348248844264,0.48510903012
-3.5,3333.33333333,-0.377406460794,0.569742546592
-3,3333.33333333,-0.404912257938,0.655815746507
-2.5,3333.33333333,-0.430075790973,0.739860743918
-2,3333.33333333,-0.452232804376,0.818058037408
-1.5,3333.33333333,-0.470774162875,0.886513249713
-1,3333.33333333,-0.485173590166,0.941573650369
-0.5,3333.33333333,-0.495012458283,0.980149335412
0,3333.33333333,-0.500000000003,1
0.5,3333.33333333,-0.495012458283,0.980149335412
1,3333.33333333,-0.485173590166,0.941573650369
1.5,3333.33333333,-0.470774162875,0.886513249713
2,3333.33333333,-0.452232804376,0.818058037408
2.5,3333.33333333,-0.430075790973,0.739860743918
3,3333.33333333,-0.404912257938,0.655815746507
3.5,3333.33333333,-0.377406460794,0.569742546592
4,3333.33333333,-0.348248844264,0.48510903012
4.5,3333.33333333,-0.318127663159,0.404820840263
5,3333.33333333,-0.287702753314,0.331091497054
5.5,3333.33333333,-0.257582791882,0.265395578693
6,3333.33333333,-0.22830704525,0.20849642764
-6,4166.66666667,-0.228307045249,0.20849642764
-5.5,4166.66666667,-0.257582791882,0.265395578693
-5,4166.66666667,-0.287702753313,0.331091497054
-4.5,4166.66666667,-0.318127663158,0.404820840263
-4,4166.66666667,-0.348248844263,0.48510903012
-3.5,4166.66666667,-0.377406460793,0.569742546592
-3,4166.66666667,-0.404912257937,0.655815746507
-2.5,4166.66666667,-0.430075790972,0.739860743918
-2,4166.66666667,-0.452232804375,0.818058037408
-1.5,4166.66666667,-0.470774162874,0.886513249713
-1,4166.66666667,-0.485173590165,0.941573650369
-0.5,4166.66666667,-0.495012458282,0.980149335412
0,4166.66666667,-0.500000000001,1
0.5,4166.66666667,-0.495012458282,0.980149335412
1,4166.66666667,-0.485173590165,0.941573650369
1.5,4166.66666667,-0.470774162874,0.886513249713
2,4166.66666667,-0.452232804375,0.818058037408
2.5,4166.66666667,-0.430075790972,0.739860743918
3,4166.66666667,-0.404912257937,0.655815746507
3.5,4166.66666667,-0.377406460793,0.569742546592
4,4166.66666667,-0.348248844263,0.48510903012
4.5,4166.66666667,-0.318127663158,0.404820840263
5,4166.66666667,-0.287702753313,0.331091497054
5.5,4166.66666667,-0.257582791882,0.265395578693
6,4166.66666667,-0.228307045249,0.20849642764
-6,5000,0.456614090497,0.20849642764
-5.5,5000,0.515165583762,0.265395578693
-5,5000,0.575405506625,0.331091497054
-4.5,5000,0.636255326314,0.404820840263
-4,5000,0.696497688524,0.48510903012
-3.5,5000,0.754812921585,0.569742546592
-3,5000,0.809824515872,0.655815746507
-2.5,5000,0.860151581942,0.739860743918
-2,5000,0.904465608748,0.818058037408
-1.5,5000,0.941548325745,0.886513249713
-1,5000,0.970347180327,0.941573650369
-0.5,5000,0.990024916561,0.980149335412
0,5000,1,1
0.5,5000,0.990024916561,0.980149335412
1,5000,0.970347180327,0.941573650369
1.5,5000,0.941548325745,0.886513249713
2,5000,0.904465608748,0.818058037408
2.5,5000,0.860151581942,0.739860743918
3,5000,0.809824515872,0.655815746507
3.5,5000,0.754812921585,0.569742546592
4,5000,0.696497688524,0.48510903012
4.5,5000,0.636255326314,0.404820840263
5,5000,0.575405506625,0.331091497054
5.5,5000,0.515165583762,0.265395578693
6,5000,0.456614090497,0.20849642764
-6,5833.33333333,-0.228307045253,0.20849642764
-5.5,5833.33333333,-0.257582791886,0.265395578693
-5,5833.33333333,-0.287702753318,0.331091497054
-4.5,5833.33333333,-0.318127663163,0.404820840263
-4,5833.33333333,-0.348248844269,0.48510903012
-3.5,5833.33333333,-0.3774064608,0.569742546592
-3,5833.33333333,-0.404912257943,0.655815746507
-2.5,5833.33333333,-0.430075790979,0.739860743918
-2,5833.33333333,-0.452232804382,0.818058037408
-1.5,5833.33333333,-0.470774162881,0.886513249713
-1,5833.33333333,-0.485173590173,0.941573650369
-0.5,5833.33333333,-0.49501245829,0.980149335412
0,5833.33333333,-0.500000000009,1
0.5,5833.33333333,-0.49501245829,0.980149335412
1,5833.33333333,-0.485173590173,0.941573650369
1.5,5833.33333333,-0.470774162881,0.886513249713
2,5833.33333333,-0.452232804382,0.818058037408
2.5,5833.33333333,-0.430075790979,0.739860743918
3,5833.33333333,-0.404912257943,0.655815746507
3.5,5833.33333333,-0.3774064608,0.569742546592
4,5833.33333333,-0.348248844269,0.48510903012
4.5,5833.33333333,-0.318127663163,0.404820840263
5,5833.33333333,-0.287702753318,0.331091497054
5.5,5833.33333333,-0.257582791886,0.265395578693
6,5833.33333333,-0.228307045253,0.20849642764
-6,6666.66666667,-0.228307045246,0.20849642764
-5.5,6666.66666667,-0.257582791878,0.265395578693
-5,6666.66666667,-0.287702753309,0.331091497054
-4.5,6666.66666667,-0.318127663154,0.404820840263
-4,6666.66666667,-0.348248844258,0.48510903012
-3.5,6666.66666667,-0.377406460788,0.569742546592
-3,6666.66666667,-0.404912257932,0.655815746507
-2.5,6666.66666667,-0.430075790967,0.739860743918
-2,6666.66666667,-0.452232804369,0.818058037408
-1.5,6666.66666667,-0.470774162867,0.886513249713
-1,6666.66666667,-0.485173590159,0.941573650369
-0.5,6666.66666667,-0.495012458275,0.980149335412
0,6666.66666667,-0.499999999995,1
0.5,6666.66666667,-0.495012458275,0.980149335412
1,6666.66666667,-0.485173590159,0.941573650369
1.5,6666.66666667,-0.470774162867,0.886513249713
2,6666.66666667,-0.452232804369,0.818058037408
2.5,6666.66666667,-0.430075790967,0.739860743918
3,6666.66666667,-0.404912257932,0.655815746507
3.5,6666.66666667,-0.377406460788,0.569742546592
4,6666.66666667,-0.348248844258,0.48510903012
4.5,6666.66666667,-0.318127663154,0.404820840263
5,6666.66666667,-0.287702753309,0.331091497054
5.5,6666.66666667,-0.257582791878,0.265395578693
6,6666.66666667,-0.228307045246,0.20849642764
-6,7500,0.456614090497,0.20849642764
-5.5,7500,0.515165583762,0.265395578693
-5,7500,0.575405506625,0.331091497054
-4.5,7500,0.636255326314,0.404820840263
-4,7500,0.696497688524,0.48510903012
-3.5,7500,0.754812921585,0.569742546592
-3,7500,0.809824515872,0.655815746507
-2.5,7500,0.860151581942,0.739860743918
-2,7500,0.904465608748,0.818058037408
-1.5,7500,0.941548325745,0.886513249713
-1,7500,0.970347180327,0.941573650369
-0.5,7500,0.990024916561,0.980149335412
0,7500,1,1
0.5,7500,0.990024916561,0.980149335412
1,7500,0.970347180327,0.941573650369
1.5,7500,0.941548325745,0.886513249713
2,7500,0.904465608748,0.818058037408
2.5,7500,0.860151581942,0.739860743918
3,7500,0.809824515872,0.655815746507
3.5,7500,0.754812921585,0.569742546592
4,7500,0.696497688524,0.48510903012
4.5,7500,0.636255326314,0.404820840263
5,7500,0.575405506625,0.331091497054
5.5,7500,0.515165583762,0.265395578693
6,7500,0.456614090497,0.20849642764
-6,8333.33333333,-0.228307045247,0.20849642764
-5.5,8333.33333333,-0.257582791879,0.265395578693
-5,8333.33333333,-0.287702753311,0.331091497054
-4.5,8333.33333333,-0.318127663155,0.404820840263
-4,8333.33333333,-0.34824884426,0.48510903012
-3.5,8333.33333333,-0.37740646079,0.569742546592
-3,8333.33333333,-0.404912257934,0.655815746507
-2.5,8333.33333333,-0.430075790969,0.739860743918
-2,8333.33333333,-0.452232804371,0.818058037408
-1.5,8333.33333333,-0.47077416287,0.886513249713
-1,8333.33333333,-0.485173590161,0.941573650369
-0.5,8333.33333333,-0.495012458278,0.980149335412
0,8333.33333333,-0.499999999997,1
0.5,8333.33333333,-0.495012458278,0.980149335412
1,8333.33333333,-0.485173590161,0.941573650369
1.5,8333.33333333,-0.47077416287,0.886513249713
2,8333.33333333,-0.452232804371,0.818058037408
2.5,8333.33333333,-0.430075790969,0.739860743918
3,8333.33333333,-0.404912257934,0.655815746507
3.5,8333.33333333,-0.37740646079,0.569742546592
4,8333.33333333,-0.34824884426,0.48510903012
4.5,8333.33333333,-0.318127663155,0.404820840263
5,8333.33333333,-0.287702753311,0.331091497054
5.5,8333.33333333,-0.257582791879,0.265395578693
6,8333.33333333,-0.228307045247,0.20849642764
-6,9166.66666667,-0.228307045246,0.20849642764
-5.5,9166.66666667,-0.257582791878,0.265395578693
-5,9166.66666667,-0.287702753309,0.331091497054
-4.5,9166.66666667,-0.318127663153,0.404820840263
-4,9166.66666667,-0.348248844258,0.48510903012
-3.5,9166.66666667,-0.377406460788,0.569742546592
-3,9166.66666667,-0.404912257931,0.655815746507
-2.5,9166.66666667,-0.430075790966,0.739860743918
-2,9166.66666667,-0.452232804369,0.818058037408
-1.5,9166.66666667,-0.470774162867,0.886513249713
-1,9166.66666667,-0.485173590158,0.941573650369
-0.5,9166.66666667,-0.495012458275,0.980149335412
0,9166.66666667,-0.499999999994,1
0.5,9166.66666667,-0.495012458275,0.980149335412
1,9166.66666667,-0.485173590158,0.941573650369
1.5,9166.66666667,-0.470774162867,0.886513249713
2,9166.66666667,-0.452232804369,0.818058037408
2.5,9166.66666667,-0.430075790966,0.739860743918
3,9166.66666667,-0.404912257931,0.655815746507
3.5,9166.66666667,-0.377406460788,0.569742546592
4,9166.66666667,-0.348248844258,0.48510903012
4.5,9166.66666667,-0.318127663153,0.404820840263
5,9166.66666667,-0.287702753309,0.331091497054
5.5,9166.66666667,-0.257582791878,0.265395578693
6,9166.66666667,-0.228307045246,0.20849642764
-6,10000,0.403270645546,0.162627213559
-5.5,10000,0.454981924235,0.20700855138
-5,10000,0.508184383568,0.258251367702
-4.5,10000,0.561925489193,0.315760255405
-4,10000,0.6151301029,0.378385043493
-3.5,10000,0.666632722225,0.444399186341
-3,10000,0.715217646787,0.511536282275
-2.5,10000,0.759665308051,0.577091380256
-2,10000,0.798802396828,0.638085269178
-1.5,10000,0.831552965707,0.691480334776
-1,10000,0.856987425397,0.734427447288
-0.5,10000,0.874366331477,0.764516481621
0,10000,0.883176086633,0.78
0.5,10000,0.874366331477,0.764516481621
1,10000,0.856987425397,0.734427447288
1.5,10000,0.831552965707,0.691480334776
2,10000,0.798802396828,0.638085269178
2.5,10000,0.759665308051,0.577091380256
3,10000,0.715217646787,0.511536282275
3.5,10000,0.666632722225,0.444399186341
4,10000,0.6151301029,0.378385043493
4.5,10000,0.561925489193,0.315760255405
5,10000,0.508184383568,0.258251367702
5.5,10000,0.454981924235,0.20700855138
6,10000,0.403270645546,0.162627213559
-6,10833.3333333,-0.212191952065,0.180101698087
-5.5,10833.3333333,-0.240830521993,0.231997361295
-5,10833.3333333,-0.270597503288,0.292892035145
-4.5,10833.3333333,-0.300999856547,0.362403654568
-4,10833.3333333,-0.331466485305,0.439480123526
-3.5,10833.3333333,-0.36136356015,0.522334490421
-3,10833.3333333,-0.390014753889,0.608446033012
-2.5,10833.3333333,-0.416725613704,0.694640948475
-2,10833.3333333,-0.440810922083,0.777257076119
-1.5,10833.3333333,-0.461623585904,0.85238534026
-1,10833.3333333,-0.478583376323,0.916168192381
-0.5,10833.3333333,-0.491203748241,0.965124489154
0,10833.3333333,-0.49911501315,0.996463185415
0.5,10833.3333333,-0.49708635797,0.988379389128
1,10833.3333333,-0.49011495455,0.960850674705
1.5,10833.3333333,-0.478408081653,0.915497170374
2,10833.3333333,-0.462309732452,0.854921154889
2.5,10833.3333333,-0.442283825014,0.782459927483
3,10833.3333333,-0.418892004268,0.701882044965
3.5,10833.3333333,-0.392767516876,0.617065289258
4,10833.3333333,-0.364586851803,0.531694290036
4.5,10833.3333333,-0.335040910513,0.449009646874
5,10833.3333333,-0.30480740196,0.371630209161
5.5,10833.3333333,-0.274525962852,0.301458017122
6,10833.3333333,-0.244777208101,0.239663526425
-6,11666.6666667,-0.196516835006,0.154475465775
-5.5,11666.6666667,-0.224371383612,0.20137007115
-5,11666.6666667,-0.253609086941,0.257270275936
-4.5,11666.6666667,-0.283786936697,0.322140101784
-4,11666.6666667,-0.314377040307,0.39533169392
-3.5,11666.6666667,-0.34477886856,0.475489872859
-3,11666.6666667,-0.374336699064,0.560511857107
-2.5,11666.6666667,-0.402361715506,0.647579800468
-2,11666.6666667,-0.428157828466,0.733276504361
-1.5,11666.6666667,-0.451049929196,0.813784154573
-1,11666.6666667,-0.470413009812,0.885153599269
-0.5,11666.6666667,-0.485700413526,0.943619566867
0,11666.6666667,-0.496469439925,0.985927619193
0.5,11666.6666667,-0.497403478426,0.989640881477
1,11666.6666667,-0.493355545005,0.973598775221
1.5,11666.6666667,-0.484446311279,0.938752914116
2,11666.6666667,-0.470939662608,0.887136663334
2.5,11666.6666667,-0.45322971447,0.821668696377
3,11666.6666667,-0.431821712345,0.745879965066
3.5,11666.6666667,-0.40730810651,0.663599574564
4,11666.6666667,-0.380341381332,0.578638265458
4.5,11666.6666667,-0.351605373256,0.494505354046
5,11666.6666667,-0.321786824891,0.414187042725
5.5,11666.6666667,-0.29154880049,0.340002812294
6,11666.6666667,-0.261507349347,0.27354437507
-6,12500,0.362711953012,0.131559960858
-5.5,12500,0.416595581167,0.173551878248
-5,12500,0.473693133816,0.224385185025
-4.5,12500,0.533224094614,0.284327935076
-4,12500,0.594228219867,0.353107177287
-3.5,12500,0.655583746661,0.429790048886
-3,12500,0.716036284555,0.512707960799
-2.5,12500,0.774237783282,0.599444145061
-2,12500,0.828794166294,0.686899770083
-1.5,12500,0.878319452974,0.771445061473
-1,12500,0.921493535652,0.849150336249
-0.5,12500,0.95712030169,0.916079271907
0,12500,0.98418255324,0.968615298103
0.5,12500,0.991920910077,0.983907091848
1,12500,0.989722235428,0.979550103301
1.5,12500,0.97765146011,0.955802377454
2,12500,0.95606793821,0.914065902473
2.5,12500,0.925607675703,0.85674956932
3,12500,0.887152199554,0.787039025173
3.5,12500,0.84178619348,0.708603995533
4,12500,0.790746740245,0.625280407208
4.5,12500,0.735367480259,0.540765331023
5,12500,0.677021189932,0.458357691616
5.5,12500,0.617064196529,0.380768222638
6,12500,0.556785702084,0.310010318045
-6,13333.3333333,-0.16677280812,0.111252678108
-5.5,13333.3333333,-0.192691749107,0.14852044069
-5,13333.3333333,-0.220409665642,0.194321682826
-4.5,13333.3333333,-0.24959069926,0.249182068618
-4,13333.3333333,-0.279805979408,0.313165544436
-3.5,13333.3333333,-0.310539595244,0.38573936084
-3,13333.3333333,-0.341199920469,0.465669542892
-2.5,13333.3333333,-0.371136218505,0.550968370721
-2,13333.3333333,-0.399660059585,0.638912652884
-1.5,13333.3333333,-0.426070681734,0.726144903304
-1,13333.3333333,-0.449683061104,0.80885942174
-0.5,13333.3333333,-0.469857160886,0.883063006507
