x_um,z_um,value,intensity
-6,0,0.938083151965,0.88
-5.5,0,0.943398113206,0.89
-5,0,0.948683298051,0.9
-4.5,0,0.953939201417,0.91
-4,0,0.959166304663,0.92
-3.5,0,0.964365076099,0.93
-3,0,0.969535971483,0.94
-2.5,0,0.974679434481,0.95
-2,0,0.979795897113,0.96
-1.5,0,0.98488578018,0.97
-1,0,0.989949493661,0.98
-0.5,0,0.994987437107,0.99
0,0,1,1
0.5,0,0.994987437107,0.99
1,0,0.989949493661,0.98
1.5,0,0.98488578018,0.97
2,0,0.979795897113,0.96
2.5,0,0.974679434481,0.95
3,0,0.969535971483,0.94
3.5,0,0.964365076099,0.93
4,0,0.959166304663,0.92
4.5,0,0.953939201417,0.91
5,0,0.948683298051,0.9
5.5,0,0.943398113206,0.89
6,0,0.938083151965,0.88
-6,833.333333333,-0.469041575983,0.88
-5.5,833.333333333,-0.471699056603,0.89
-5,833.333333333,-0.474341649026,0.9
-4.5,833.333333333,-0.476969600709,0.91
-4,833.333333333,-0.479583152332,0.92
-3.5,833.333333333,-0.48218253805,0.93
-3,833.333333333,-0.484767985742,0.94
-2.5,833.333333333,-0.487339717241,0.95
-2,833.333333333,-0.489897948557,0.96
-1.5,833.333333333,-0.49244289009,0.97
-1,833.333333333,-0.494974746831,0.98
-0.5,833.333333333,-0.497493718554,0.99
0,833.333333333,-0.500000000001,1
0.5,833.333333333,-0.497493718554,0.99
1,833.333333333,-0.494974746831,0.98
1.5,833.333333333,-0.49244289009,0.97
2,833.333333333,-0.489897948557,0.96
2.5,833.333333333,-0.487339717241,0.95
3,833.333333333,-0.484767985742,0.94
3.5,833.333333333,-0.48218253805,0.93
4,833.333333333,-0.479583152332,0.92
4.5,833.333333333,-0.476969600709,0.91
5,833.333333333,-0.474341649026,0.9
5.5,833.333333333,-0.471699056603,0.89
6,833.333333333,-0.469041575983,0.88
-6,1666.66666667,-0.469041575981,0.88
-5.5,1666.66666667,-0.471699056602,0.89
-5,1666.66666667,-0.474341649024,0.9
-4.5,1666.66666667,-0.476969600707,0.91
-4,1666.66666667,-0.47958315233,0.92
-3.5,1666.66666667,-0.482182538048,0.93
