x_um,z_um,value,intensity
-12,0,1,1
-10,0,1,1
-8,0,1,1
-6,0,1,1
-4,0,1,1
-2,0,1,1
0,0,1,1
2,0,1,1
4,0,1,1
6,0,1,1
8,0,1,1
10,0,1,1
12,0,1,1
-12,5416.666667,1,1
-10,5416.666667,1,1
-8,5416.666667,1,1
-6,5416.666667,1,1
-4,5416.666667,1,1
-2,5416.666667,1,1
0,5416.666667,1,1
2,5416.666667,1,1
4,5416.666667,1,1
6,5416.666667,1,1
8,5416.666667,1,1
10,5416.666667,1,1
12,5416.666667,1,1
-12,10833.33333,1,1
-10,10833.33333,1,1
-8,10833.33333,1,1
-6,10833.33333,1,1
-4,10833.33333,1,1
-2,10833.33333,1,1
0,10833.33333,1,1
2,10833.33333,1,1
4,10833.33333,1,1
6,10833.33333,1,1
8,10833.33333,1,1
10,10833.33333,1,1
12,10833.33333,1,1
-12,16250,1.000000077,1.000000154
-10,16250,1.000003005,1.000006009
-8,16250,1.000060348,1.000120699
-6,16250,1.000622145,1.001244677
-4,16250,1.003289554,1.006589928
-2,16250,1.008916886,1.017913283
0,16250,1.012422837,1.025
2,16250,1.008916886,1.017913283
4,16250,1.003289554,1.006589928
6,16250,1.000622145,1.001244677
8,16250,1.000060348,1.000120699
10,16250,1.000003005,1.000006009
12,16250,1.000000077,1.000000154
-12,21666.66667,1.000000154,1.000000307
-10,21666.66667,1.000006009,1.000012018
-8,21666.66667,1.000120691,1.000241397
-6,21666.66667,1.001243903,1.002489353
-4,21666.66667,1.006568357,1.013179857
-2,21666.66667,1.017755651,1.035826566
0,21666.66667,1.024695077,1.05
2,21666.66667,1.017755651,1.035826566
4,21666.66667,1.006568357,1.013179857
6,21666.66667,1.001243903,1.002489353
8,21666.66667,1.000120691,1.000241397
10,21666.66667,1.000006009,1.000012018
12,21666.66667,1.000000154,1.000000307
-12,27083.33333,0.6708205478,0.4500002074
-10,27083.33333,0.6708264399,0.4500081125
-8,27083.33333,0.670941833,0.4501629433
-6,27083.33333,0.6720716581,0.4516803136
-4,27083.33333,0.6774189276,0.4588964034
-2,27083.33333,1.026518314,1.053739848
0,27083.33333,1.036822068,1.075
2,27083.33333,1.026518314,1.053739848
4,27083.33333,0.6774189276,0.4588964034
6,27083.33333,0.6720716581,0.4516803136
8,27083.33333,0.670941833,0.4501629433
10,27083.33333,0.6708264399,0.4500081125
12,27083.33333,0.6708205478,0.4500002074
-12,32500,0.6708205993,0.4500002765
-10,32500,0.6708284554,0.4500108166
-8,32500,0.6709823081,0.4502172577
-6,32500,0.672488229,0.4522404181
-4,32500,0.6796042019,0.4618618712
-2,32500,1.035206806,1.071653131
0,32500,1.048808848,1.1
2,32500,1.035206806,1.071653131
4,32500,0.6796042019,0.4618618712
6,32500,0.672488229,0.4522404181
8,32500,0.6709823081,0.4502172577
10,32500,0.6708284554,0.4500108166
12,32500,0.6708205993,0.4500002765
-12,37916.66667,0.6708206509,0.4500003456
-10,37916.66667,0.670830471,0.4500135208
-8,37916.66667,0.6710227807,0.4502715722
-6,37916.66667,0.672904542,0.4528005226
-4,37916.66667,0.6817824719,0.464827339
-2,37916.66667,1.04382298,1.089566414
0,37916.66667,1.060660172,1.125
2,37916.66667,1.04382298,1.089566414
4,37916.66667,0.6817824719,0.464827339
6,37916.66667,0.672904542,0.4528005226
8,37916.66667,0.6710227807,0.4502715722
10,37916.66667,0.670830471,0.4500135208
12,37916.66667,0.6708206509,0.4500003456
-12,43333.33333,0.6708207024,0.4500004147
-10,43333.33333,0.6708324865,0.4500162249
-8,43333.33333,0.6710632508,0.4503258866
-6,43333.33333,0.6733205976,0.4533606271
-4,43333.33333,0.6839538046,0.4677928068
-2,43333.33333,1.052368613,1.107479697
0,43333.33333,1.072380529,1.15
2,43333.33333,1.052368613,1.107479697
4,43333.33333,0.6839538046,0.4677928068
